City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
199,Ambilobe,MG,72.82,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
200,Hobyo,SO,77.59,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
202,Duiwelskloof,ZA,68.05,clear sky,-23.6934,30.14,Silvermist Guesthouse
205,Tecoanapa,MX,76.1,clear sky,16.5167,-98.75,Hotel Manglares
206,Praya,CV,73.94,clear sky,14.9215,-23.5087,LT Aparthotel
207,Marsh Harbour,BS,71.01,broken clouds,26.5412,-77.0636,Abaco Beach Resort
209,Kathu,TH,85.62,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
210,Hasaki,JP,50.29,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
211,Mutis,CO,77.85,clear sky,6.2262,-77.4044,Paraiso Escondido
212,Matay,EG,53.35,clear sky,28.419,30.7792,Nag Aespen
213,Biloela,AU,81.59,overcast clouds,-24.4167,150.5,Biloela Silo Motor Inn
214,Flinders,AU,72.81,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
215,Marawi,PH,72.64,overcast clouds,7.9986,124.2928,Derogongan Residence
217,Pontianak,ID,82.38,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
221,Ribeira Grande,PT,59.31,few clouds,38.5167,-28.7,Quinta da Meia Eira
222,Tena,EC,70.21,overcast clouds,-0.9833,-77.8167,Hostal Tena Ñaui
224,Mandurah,AU,89.15,clear sky,-32.55,115.7,Atrium Hotel Mandurah
225,Kiama,AU,73.0,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
229,Phan Thiet,VN,83.77,scattered clouds,10.9333,108.1,Hotel Saigon-PT
230,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
232,Sao Goncalo Do Amarante,BR,81.12,overcast clouds,-3.6072,-38.9683,Sunshine Inn
233,Odweyne,SO,63.75,clear sky,9.4092,45.064,Eng Hiirey House
236,Los Llanos De Aridane,ES,69.12,clear sky,28.6585,-17.9182,Valle Aridane
240,San Juan Bautista,PE,63.23,clear sky,-14.0108,-75.7358,Hotel Las Dunas
241,Ponta Delgada,PT,60.49,few clouds,37.7333,-25.6667,Vila Nova Hotel
242,Auki,SB,77.81,light rain,-8.7676,160.7034,Auki Motel
245,Loei,TH,63.77,broken clouds,17.4167,101.5,Ban Aloi Resort
246,Neuquen,AR,78.69,scattered clouds,-38.9516,-68.0591,Hotel del Comahue
247,Kalabagh,PK,50.11,clear sky,32.965,71.557,Paracha nimko shop
248,Half Moon Bay,US,60.31,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
250,Phayao,TH,70.68,clear sky,19.25,100.25,chuthagarden
252,Bichena,ET,56.84,overcast clouds,10.45,38.2,Dagm Tesfa Hotel ዳግም ተስፋ ሆቴል
257,Mitsamiouli,KM,81.41,overcast clouds,-11.3847,43.2844,Foyer ADM
258,Coihaique,CL,58.95,overcast clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
262,Laguna,US,56.34,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
263,Srandakan,ID,84.67,scattered clouds,-7.9386,110.2506,Puri Brata
265,Madang,PG,85.57,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
267,Lebu,CL,59.9,broken clouds,-37.6167,-73.65,Hostal Las Lilas
268,Bambari,CF,73.92,few clouds,5.768,20.6757,Hotel-Restaurant BIBICH
271,Khutar,IN,52.83,broken clouds,28.2,80.2833,Nitesh Shukla ji LVWPL
272,Hervey Bay,AU,88.03,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
274,Tomatlan,MX,63.57,clear sky,19.9333,-105.25,El Salvial
276,Noumea,NC,87.78,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
277,Alofi,NU,82.29,scattered clouds,-19.0595,-169.9187,Taloa Heights
279,Castro,BR,63.0,clear sky,-24.7911,-50.0119,CHACARA BAILLY
283,Poum,NC,80.46,clear sky,-20.2333,164.0167,Gîte kajeon
285,Coquimbo,CL,62.33,few clouds,-29.9533,-71.3436,Hostel Del Puerto
286,Longhua,CN,50.65,light rain,23.6137,114.1919,Huadu Hotel
287,Puerto Montt,CL,59.83,overcast clouds,-41.4698,-72.9447,Gran Hotel Vicente Costanera
292,Esmeraldas,BR,70.66,overcast clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
293,Esperance,AU,75.04,clear sky,-33.8667,121.9,Hospitality Esperance
294,Hokitika,NZ,66.15,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
296,Carutapera,BR,76.5,overcast clouds,-1.195,-46.02,Lidera
